시도,지역,기관유형,기관명,주소,대표전화,홈페이지,모집영역
서울,,대학영재교육원,서울교육대학교과학영재교육원,서울특별시 서초구 서초중앙로 96 서초동 서울교육대학교 에듀웰센터 103호 과학영재교육원,02-3475-2468,https://gifted.snue.ac.kr,"융합,과학,정보과학,수학,"
서울,,대학영재교육원,서울대학교과학영재교육원,"서울 관악구 관악로 1 (신림동, 서울대학교) 10-1동 407호",02-880-7782,http://gifted.snu.ac.kr/,"과학,정보과학,수학,"
서울,,대학영재교육원,서울여대 정보보호영재교육원,서울특별시 노원구 화랑로 621 공릉동 서울여자대학교 50주년기념관 601호 정보보호영재교육원,02-970-5330,http://security.swu.ac.kr/giftedu/,"정보과학,"
서울,,대학영재교육원,연세대학교과학영재교육원,서울특별시 서대문구 연세로 50 신촌동 연세대학교 과학관 524호,02-2123-4844,https://giftededu.yonsei.ac.kr,"과학,수학,"
서울,,대학영재교육원,한국예술영재교육원(서울본원),"서울 종로구 창경궁로 215 (와룡동, 한국예술종합학교,서울시선거관리위원회) ",02-746-9597,http://kniga.karts.ac.kr/,"음악,문화,"
서울,성북강북,영재학급,신일고영재학급,"서울 강북구 솔매로49길 20 (미아동, 신일고등학교) 신일고등학교",02-989-4151,http://www.shin-il.hs.kr/,"수학,"
서울,,영재학급,대동세무고영재학급,서울특별시 종로구 계동길 84 -10 계동 대동세무고등학교 대동세무고등학교,02-763-1630,https://daedong.sen.hs.kr/,"융합,"
서울,,영재학급,선덕고영재학급,서울특별시 도봉구 시루봉로 53 쌍문동 선덕고등학교 선덕고등학교 융합인재진로교육부,02-997-4111,http://www.sunduck.hs.kr,"융합,과학,수학,"
서울,,영재학급,이대부속고영재학급,서울특별시 서대문구 성산로 560 대신동 이대부속고등학교 113번지 이대부속고등학교,02-361-6208,http://www.edaebugo.hs.kr/,"융합,수.과학,"
서울,,교육청영재교육원,과학전시관영재교육원(낙성대본관),"서울 관악구 낙성대로 101 (봉천동, 서울시과학전시관) ",02-881-3000,http://ssp.sen.go.kr,"과학,수학,"
서울,,교육청영재교육원,과학전시관영재교육원(남부),"서울 구로구 구로중앙로27나길 21 (구로동, 서울특별시 과학전시관 남부분관) 1층 사무실",02-854-0457,http://ssp.sen.go.kr,"과학,수학,"
서울,,교육청영재교육원,과학전시관영재교육원(남산),"서울 중구 소파로 46 (회현동1가, 서울특별시교육연구정보원) 605호",02-311-1271,http://ssp.sen.go.kr,"과학,수학,"
서울,,교육청영재교육원,과학전시관영재교육원(동부),"서울 중랑구 면목로23길 20 (면목동, 중곡초등학교) 서울특별시교육청과학전시관 동부분관",02-2209-9906,https://ssp.sen.go.kr/edu/,"과학,수학,"
서울,,교육청영재교육원,국악고영재교육원,서울특별시 강남구 개포로22길 65 개포동 국악고등학교 국립국악고등학교,02-3497-0885,http://gugak.sen.hs.kr,"음악,"
서울,,교육청영재교육원,미래산업과학고영재교육원,서울특별시 노원구 덕릉로82길 54 중계동 미래산업과학고등학교 영재교육원,02-933-7671,www.mist.hs.kr,"발명,"
서울,,교육청영재교육원,서울과학고영재교육원,서울특별시 종로구 혜화로 63 명륜1가 서울과학고등학교 서울시 종로구 혜화로 63번지,02-740-6376,http://gifted.hs.kr/,"과학,수학,"
서울,,교육청영재교육원,서울국제고영재교육원,서울특별시 종로구 성균관로13길 40 명륜1가 서울국제고등학교 서울국제고등학교,02-743-9385,http://sghs.sen.go.kr,"인문사회,"
서울,,교육청영재교육원,서울로봇고영재교육원,"서울 강남구 광평로20길 63 (일원동, 서울로봇고등학교) 서울로봇고등학교",02-2226-2141,https://srobot.sen.hs.kr/,"기타,"
서울,,교육청영재교육원,선린인터넷고영재교육원,서울특별시 용산구 원효로97길 33 -4 청파동3가 선린인터넷고등학교 33-4,02-3273-8400,www.sunrint.sen.hs.kr,"정보과학,"
서울,,교육청영재교육원,세종과학고영재교육원,서울특별시 구로구 오리로21길 79 궁동 세종과학고등학교 영재교육부,02-2060-4133,https://sjsh.sen.hs.kr,"과학,수학,수.과학,"
서울,,교육청영재교육원,아현산업정보학교영재교육원,서울특별시 마포구 마포대로 249 아현동 아현산업정보학교 본관4층 실용음악교사실,02-390-5849,http://ahyeon.sc.kr,"음악,"
서울,,교육청영재교육원,전통문화재단영재교육원,"서울 송파구 삼학사로 46 (석촌동, 삼해빌딩) 3층 전통문화재단영재교육원",02-415-0532,http://www.artinw.com/xe,"문화,인문사회,미술,"
서울,,교육청영재교육원,전통예술고영재교육원,서울 금천구 시흥대로38길 62 (시흥동) 국립전통예술고등학교,02-6488-1094,www.kugak-am.hs.kr,"음악,문화,"
서울,,교육청영재교육원,한성과학고영재교육원,서울특별시 서대문구 통일로 279 -79 현저동 한성과학고등학교 한성과학고등학교,02-6917-0000,http://www.hansung-sh.hs.kr,"과학,수학,"
서울,,대학영재교육원,건국대음악영재교육원,서울특별시 광진구 능동로 120 화양동 건국대학교 교육과학관 123호,02-456-8434,http://musicnedu.konkuk.ac.kr/,"음악,"
서울,,대학영재교육원,고려대학교영재교육원,서울특별시 성북구 안암로 145 안암동5가 고려대학교안암캠퍼스(인문사회계) 라이시움 129호 영재교육원 행정실,02-3290-2905,http://gifted.korea.ac.kr,"융합,정보과학,"
서울,,대학영재교육원,덕성여대 도봉영재교육원,서울특별시 도봉구 삼양로144길 33 쌍문동 덕성여자대학교 차미리사기념관 438호,02-901-8604,http://gifted.duksung.ac.kr,"과학,정보과학,수학,"
서울,,대학영재교육원,상명대창의예술영재교육원,"서울 종로구 홍지문2길 20 (홍지동, 상명대학교) 미래백년관 313호",02-2287-6148,http://acge.smu.ac.kr,"융합,"
서울,,대학영재교육원,서경대음악영재교육원,"서울 성북구 서경로 124 (정릉동, 서경대학교) 대일관 211호",02-940-7795,https://gifted.skuniv.ac.kr/,"음악,"
서울,,대학영재교육원,서울과학기술대학교 노원과학영재교육원,"서울 노원구 공릉로 232 (공릉동, 서울과학기술대학교) 어의관 430호",02-970-9282,http://gifted.seoultech.ac.kr,"과학,수학,"
서울,,대학영재교육원,서울교대SW영재교육원,"서울 서초구 서초중앙로 96 (서초동, 서울교육대학교) 전산교육관 304호",02-3475-2153,http://talented.snue.ac.kr,"정보과학,"
서울,,대학영재교육원,서울교육대음악영재교육원,"서울 서초구 서초중앙로 96 (서초동, 서울교육대학교,서울교대초등학교) 음악관 307호",02-3475-2489,http://musicgifted.snue.ac.kr/,"음악,"
서울,,대학영재교육원,서울교육대학교미술영재교육원,서울특별시 서초구 서초중앙로 96 서초동 서울교육대학교 에듀웰센터 1층 미술영재교육원,02-3475-2166,https://gaec.snue.ac.kr/,"미술,"
서울,,대학영재교육원,서울대학교관악창의예술영재교육원,서울특별시 관악구 관악로 1 신림동 서울대학교 미술대학 50동 309호,02-880-7458,http://artgifted.snu.ac.kr,"미술,"
서울,,대학영재교육원,성균관대영재교육원,"서울 종로구 성균관로 25-2 (명륜3가, 성균관대학교) 호암관 50418호",02-760-0722,gte.skku.edu,"인문사회,"
서울,,대학영재교육원,숙명여대음악영재교육원,"서울 용산구 청파로47길 90 (청파동2가, 숙명여자대학교) 제2창학캠퍼스 음악대학 303호",02-710-9802,smsmc@sookmyung.ac.kr,"음악,"
서울,,대학영재교육원,이화여대서대문영재교육원,서울특별시 서대문구 이화여대길 52 대현동 이화여자대학교 교육관A동 311호 이화영재교육원,02-3277-6631,http://my.ewha.ac.kr/gifted/,"융합,과학,수학,"
서울,,대학영재교육원,한양대미술영재교육원,서울 성동구 왕십리로 222 (사근동) 한양대학교 사범대학 별관 406호,02-2220-2609,http://head-lab.org/,"미술,"
서울,동부,영재학급,경희여고영재학급,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교) 경희여자고등학교",02-966-4560,http://kyunghee.hs.kr/,"정보과학,수.과학,"
서울,동부,영재학급,경희초영재학급,"서울 동대문구 경희대로 26 (회기동, 경희초등학교) 경희초등학교",02-962-4300,www.kyunghee.es.kr,"과학,수학,발명,"
서울,동부,영재학급,금성초영재학급,"서울 중랑구 신내로21길 55 (신내동, 금성초등학교) 금성초등학교",02-3421-0500,http://www.kumsung.net,"수학,발명,"
서울,동부,영재학급,면목고영재학급,서울특별시 중랑구 용마산로72길 36 -14 면목동 면목고등학교 면목고등학교,02-435-0002,http://www.mmhs.hs.kr/index/index.do,"과학,"
서울,동부,영재학급,서울삼육초영재학급,"서울 동대문구 회기로10길 63 (회기동, 서울삼육초등학교) 서울삼육초등학교",02-966-4859,http://seoul36.es.kr/site/seoul36/index.html,"수.과학,"
서울,동부,영재학급,서울안평초영재학급,"서울 동대문구 장한로14길 61 (장안동, 서울안평초등학교) 353-1 서울안평초등학교",02-2214-0258,http://www.anpyeong.es.kr/index/index.do,"수.과학,"
서울,동부,영재학급,은석초영재학급,서울특별시 동대문구 장안벚꽃로 205 장안동 은석초등학교 328번지 은석초등학교,02-6937-8180,http://eunseok.seoul.kr,"수.과학,"
서울,동부,교육청영재교육원,서울동부영재교육원(동대문중),서울특별시 동대문구 사가정로 59 전농동 동대문중학교 동대문중학교,02-3407-4302,http://www.dongdaemun.ms.kr,"수학,"
서울,동부,교육청영재교육원,서울동부영재교육원(면동초),"서울 중랑구 면목로57길 32 (면목동, 면동초등학교) ",02-434-7814,http://myeondong.sen.es.kr,"수.과학,"
서울,동부,교육청영재교육원,서울동부영재교육원(서울면중초),"서울 중랑구 용마산로70길 43 (면목동, 면중초등학교) 면중초등학교",02-434-0386,www.myunjoong.es.kr,"수학,"
서울,동부,교육청영재교육원,서울동부영재교육원(서울장평초),"서울 동대문구 답십리로69길 27 (장안동, 서울장평초등학교) 서울장평초등학교",02-2243-6108,http://www.jang-pyung.es.kr/,"수.과학,"
서울,동부,교육청영재교육원,서울동부영재교육원(서울중곡초),서울특별시 중랑구 면목로23길 20 면목동 중곡초등학교 (면목4동 380),02-2209-2543,http://www.cg.sen.es.kr,"과학,"
서울,동부,교육청영재교육원,서울동부영재교육원(서울중화초),서울특별시 중랑구 신내로7가길 22 신내동 중화초등학교 531번지 서울중화초등학교,02-433-8993,http://www.junghwa.es.kr/,"미술,"
서울,동부,교육청영재교육원,서울동부영재교육원(장평중),"서울 동대문구 답십리로72길 158 (장안동, 장평중학교) 장평중학교",02-2243-8282,https://jangpyung.sen.ms.kr/,"과학,"
서울,동부,교육청영재교육원,서울동부영재교육원(전농중),서울특별시 동대문구 사가정로13길 71 전농동 전농중학교 13길 71,02-2242-6652,http://jeonnong.sen.ms.kr/,"정보과학,"
서울,동부,교육청영재교육원,서울동부영재교육원(태릉중),서울 중랑구 공릉로2길 60-25 (묵동) 태릉중학교,02-977-5551,http://www.taereung.ms.kr,"미술,"
서울,서부,영재학급,경성고영재학급,"서울 마포구 성미산로 111 (연남동, 경성중고등학교, 홍익디자인고등학교) 경성고등학교",02-3140-1167,http://www.gyeongseong.hs.kr,"과학,"
서울,서부,영재학급,광성중영재학급,"서울 마포구 신수로8길 20 (신수동, 광성중고등학교) 광성중학교",02-703-3456,kwangsung.sen.ms.kr,"수.과학,"
서울,서부,영재학급,대성중영재학급,서울특별시 은평구 갈현로29길 51 -24 갈현동 대성중고등학교 대성중학교,02-6252-1100,www.dsms.sen.ms.kr,"과학,"
서울,서부,영재학급,서울구현초영재학급,서울특별시 은평구 갈현로15길 51 구산동 구현초등학교 서울구현초등학교,02-352-5518,www.guhyun.es.kr,"수학,"
서울,서부,영재학급,서울북가좌초영재학급,서울특별시 서대문구 거북골로19길 20 북가좌동 서울북가좌초등학교 서울북가좌초등학교,02-372-4024,http://www.bukgajwa.es.kr/,"수.과학,"
서울,서부,영재학급,서울상암초영재학급,"서울 마포구 월드컵북로 353 (상암동, 상암초등학교) 1635번지 서울상암초등학교",02-375-8891,http://www.sangam.es.kr,"수.과학,"
서울,서부,영재학급,서울상지초영재학급,서울특별시 마포구 월드컵로42길 30 상암동 상지초등학교 상암동 356-2,02-303-9009,http://www.seoulsangji.es.kr,"수.과학,"
서울,서부,영재학급,서울염리초영재학급,"서울특별시 마포구 토정로37길 37 염리동 염리초등학교 염리초등학교 수,과 융합 영재학급",02-715-4916,http://www.yeomri.es.kr,"수.과학,"
서울,서부,영재학급,서울증산초영재학급,서울특별시 은평구 증산서길 61 증산동 증산초등학교 증산초등학교,02-373-6305,http://www.jeungsancho.es.kr,"수.과학,"
서울,서부,영재학급,서울진관초영재학급,"서울 은평구 진관4로 78-16 (진관동, 진관초등학교) 서울진관초등학교",02-386-3365,https://jingwan.sen.es.kr/,"수.과학,"
서울,서부,영재학급,선정고영재학급,"서울 은평구 서오릉로20길 19 (갈현동, 선정중학교, 선정고등학교) 선정고등학교",02-3156-1500,https://sunjung.sen.hs.kr/,"수.과학,"
서울,서부,영재학급,숭문중영재학급,"서울 마포구 숭문길 99 (대흥동, 숭문중고등학교) 숭문중학교",02-715-4463,http://www.soongmoon.ms.kr/index/index.do,"수.과학,"
서울,서부,영재학급,예일여고영재학급,"서울 은평구 연서로 117 (구산동, 예일여자고등학교) 예일여자고등학교",02-380-0812,https://www.yale.hs.kr/,"융합,"
서울,서부,영재학급,중앙여고영재학급,"서울 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교,중앙여고,중앙여중,추계초) 중앙여자고등학교",02-393-5126,http://jungang-girls.sen.hs.kr/index.do,"융합,"
서울,서부,영재학급,충암중영재학급,"서울 은평구 가좌로5길 5 (응암동, 충암학원) 충암중학교",02-309-2437,http://choongqam.ms.kr,"정보과학,"
서울,서부,영재학급,충암초영재학급,서울특별시 은평구 가좌로5길 5 응암동 충암초등학교,02-302-2430,http://choongam.es.kr,"과학,정보과학,"
서울,서부,교육청영재교육원,서울서부영재교육원(불광중),서울특별시 은평구 불광로 180 불광동 불광중학교 .,02-384-6591,www.bulgwang.ms.kr,"정보과학,"
서울,서부,교육청영재교육원,서울서부영재교육원(서울마포초),서울특별시 마포구 도화2길 64 도화동 서울마포초등학교 347-5,02-712-0852,http://www.mapo.es.kr,"미술,"
서울,서부,교육청영재교육원,서울서부영재교육원(서울아현초),"서울 마포구 굴레방로 6 (아현동, 서울아현초등학교) 서울아현초등학교",02-313-5845,http://ahyun.sen.es.kr/index.do,"과학,"
서울,서부,교육청영재교육원,서울서부영재교육원(서울안산초),서울특별시 서대문구 통일로 321 홍제동 서울안산초등학교 서울안산초등학교,02-737-4265,http://www.ansan.es.kr,"융합,수.과학,"
서울,서부,교육청영재교육원,서울서부영재교육원(서울용강초),"서울 마포구 백범로17길 9 (대흥동, 용강초등학교) ",02-715-1749,http://yonggang.es.kr,"수학,"
서울,서부,교육청영재교육원,서울서부영재교육원(서울응암초),서울특별시 은평구 가좌로6길 20 응암동 서울응암초등학교 서울응암초등학교,02-309-5555,www.eungam.es.kr,"수.과학,"
서울,서부,교육청영재교육원,서울서부영재교육원(성서중),서울특별시 마포구 성산로4길 42 성산동 성서중학교 4길 42 성서중학교,02-3140-7101,http://www.sungseo.ms.kr,"수학,"
서울,서부,교육청영재교육원,서울서부영재교육원(중암중),서울특별시 마포구 월드컵북로38길 25 중동 중암중학교 중암중학교,02-309-5779,http://www.joongam.ms.kr,"과학,"
서울,남부,영재학급,동광초영재학급,"서울 금천구 탑골로10길 45 (시흥동, 동광초등학교) 동광초등학교",02-891-0151,donggwang.sen.es.kr,"정보과학,수.과학,"
서울,남부,영재학급,동일여고영재학급,서울특별시 금천구 탑골로10길 45 시흥동 동일여자고등학교 탑골로 10길 45,02-803-9806,http://www.dongilg.hs.kr,"미술,"
서울,남부,영재학급,서울개봉초영재학급,서울특별시 구로구 개봉로16길 30 -11 개봉동 개봉초등학교 서울개봉초등학교,02-2612-6058,http://gaebong.sen.es.kr,"수.과학,"
